"collection","n_t","trial","actual","KD","ML","MSQD","RES","SHw","SHwo"
"adhoc6",10,12,0.477441,0.646368,0.636962,0.607022,0.680143,0.63979,0.484582
"adhoc6",20,12,0.651178,0.76144,0.758464,0.748628,0.776968,0.80201,0.730673
"adhoc6",30,12,0.773737,0.765203,0.76428,0.761351,0.776843,0.799155,0.763592
"adhoc6",40,12,0.707744,0.817603,0.819564,0.81619,0.827741,0.863092,0.861256
"adhoc6",50,12,0.772391,0.759481,0.764423,0.760979,0.771067,0.78977,0.750728
"adhoc6",60,12,0.826263,0.828011,0.830058,0.828397,0.834514,0.882701,0.863925
"adhoc6",70,12,0.757576,0.834801,0.836699,0.836061,0.841104,0.888015,0.885873
"adhoc6",80,12,0.843771,0.834307,0.836254,0.834749,0.839515,0.890102,0.877351
"adhoc6",90,12,0.861279,0.85829,0.860413,0.859855,0.864028,0.90851,0.908637
"adhoc6",100,12,0.847811,0.864172,0.86621,0.865958,0.868715,0.917188,0.916788
"adhoc6",10,13,0.567677,0.675931,0.663031,0.63775,0.705863,0.623561,0.499101
"adhoc6",20,13,0.707744,0.755772,0.755061,0.744301,0.772337,0.760409,0.732797
"adhoc6",30,13,0.799327,0.701285,0.701013,0.696026,0.714828,0.705149,0.61301
"adhoc6",40,13,0.826263,0.793174,0.798751,0.793073,0.806599,0.846667,0.823802
"adhoc6",50,13,0.86936,0.789667,0.792024,0.789366,0.798943,0.832955,0.810418
"adhoc6",60,13,0.842424,0.782964,0.786022,0.785114,0.79174,0.824892,0.796242
"adhoc6",70,13,0.799327,0.817364,0.820387,0.819731,0.825467,0.868608,0.857865
"adhoc6",80,13,0.827609,0.828377,0.830953,0.830563,0.835415,0.880478,0.871204
"adhoc6",90,13,0.86532,0.821314,0.822087,0.825128,0.825518,0.873143,0.857058
"adhoc6",100,13,0.842424,0.832065,0.834088,0.834806,0.836482,0.887115,0.868762
"adhoc6",10,14,0.612121,0.613837,0.610523,0.581471,0.648286,0.554844,0.402666
"adhoc6",20,14,0.753535,0.719481,0.719685,0.705664,0.740009,0.760109,0.666682
"adhoc6",30,14,0.769697,0.749333,0.753579,0.744281,0.765448,0.793451,0.753257
"adhoc6",40,14,0.703704,0.768424,0.77169,0.767963,0.77958,0.823689,0.767688
"adhoc6",50,14,0.76835,0.791669,0.792964,0.793682,0.800288,0.835025,0.81073
"adhoc6",60,14,0.832997,0.790403,0.795076,0.791706,0.800583,0.843922,0.822814
"adhoc6",70,14,0.775084,0.835572,0.836851,0.836824,0.84151,0.885148,0.870178
"adhoc6",80,14,0.789899,0.847455,0.849111,0.849216,0.853123,0.892672,0.900418
"adhoc6",90,14,0.878788,0.832799,0.834444,0.835111,0.837589,0.880717,0.868447
"adhoc6",100,14,0.861279,0.859367,0.861605,0.861908,0.864139,0.905264,0.90519
"adhoc6",10,15,0.590572,0.701662,0.681998,0.657584,0.728532,0.716616,0.585095
"adhoc6",20,15,0.512458,0.735278,0.738081,0.72325,0.756554,0.777189,0.717148
"adhoc6",30,15,0.718519,0.77779,0.778367,0.771609,0.791227,0.835162,0.790447
"adhoc6",40,15,0.767003,0.766053,0.767105,0.763049,0.776632,0.81359,0.771537
"adhoc6",50,15,0.834343,0.79471,0.799382,0.795388,0.805794,0.828008,0.825933
"adhoc6",60,15,0.733333,0.7801,0.782037,0.780755,0.78742,0.824073,0.796669
"adhoc6",70,15,0.819529,0.793486,0.796512,0.794815,0.800997,0.852238,0.818761
"adhoc6",80,15,0.822222,0.79943,0.802224,0.802353,0.80557,0.851953,0.831641
"adhoc6",90,15,0.682155,0.814404,0.816881,0.817807,0.820393,0.86648,0.847464
"adhoc6",100,15,0.796633,0.833075,0.833557,0.835497,0.836079,0.88243,0.870637
"adhoc6",10,16,0.505724,0.667211,0.655104,0.626596,0.697713,0.700414,0.549625
"adhoc6",20,16,0.748148,0.698395,0.698261,0.688214,0.719631,0.707695,0.613229
"adhoc6",30,16,0.719865,0.780494,0.779386,0.774237,0.792593,0.809746,0.794155
"adhoc6",40,16,0.791246,0.780427,0.783514,0.778399,0.79233,0.830954,0.797255
"adhoc6",50,16,0.756229,0.786576,0.789128,0.786683,0.796416,0.82998,0.805618
"adhoc6",60,16,0.83569,0.819815,0.821735,0.819819,0.826944,0.869663,0.863323
"adhoc6",70,16,0.742761,0.80988,0.811409,0.811396,0.816055,0.852878,0.841227
"adhoc6",80,16,0.854545,0.828172,0.831786,0.831228,0.835197,0.890485,0.871298
"adhoc6",90,16,0.868013,0.836769,0.840144,0.839593,0.843215,0.895741,0.882342
"adhoc6",100,16,0.882828,0.84557,0.847336,0.848232,0.850055,0.897738,0.884024
"adhoc6",10,17,0.639057,0.711514,0.702015,0.673028,0.741459,0.751209,0.6466
"adhoc6",20,17,0.744108,0.683852,0.681617,0.668338,0.701302,0.690069,0.544516
"adhoc6",30,17,0.710438,0.777783,0.781561,0.774504,0.792255,0.820506,0.775247
"adhoc6",40,17,0.777778,0.761293,0.760748,0.759065,0.771219,0.78442,0.75449
"adhoc6",50,17,0.863973,0.781051,0.784964,0.782289,0.791537,0.828585,0.797454
"adhoc6",60,17,0.762963,0.816035,0.819494,0.81677,0.82461,0.866412,0.853649
"adhoc6",70,17,0.787205,0.86296,0.863522,0.863052,0.866349,0.9131,0.909513
"adhoc6",80,17,0.830303,0.809345,0.81202,0.812878,0.816296,0.869994,0.837947
"adhoc6",90,17,0.863973,0.839354,0.839979,0.841359,0.842987,0.882871,0.872975
"adhoc6",100,17,0.86532,0.84709,0.849621,0.850081,0.852703,0.902393,0.895862
"adhoc6",10,18,0.721212,0.669333,0.660273,0.630057,0.702303,0.622556,0.543176
"adhoc6",20,18,0.692929,0.730479,0.729209,0.717902,0.747931,0.769916,0.670775
"adhoc6",30,18,0.738721,0.733865,0.730693,0.72823,0.745332,0.741207,0.718971
"adhoc6",40,18,0.834343,0.792754,0.796447,0.790834,0.805009,0.839666,0.819855
"adhoc6",50,18,0.76835,0.789802,0.794056,0.79011,0.801084,0.82623,0.812379
"adhoc6",60,18,0.799327,0.836968,0.840186,0.837721,0.844589,0.887664,0.884511
"adhoc6",70,18,0.839731,0.849719,0.850734,0.850563,0.8552,0.898959,0.90002
"adhoc6",80,18,0.905724,0.834109,0.837249,0.836456,0.840555,0.887595,0.87416
"adhoc6",90,18,0.841077,0.850937,0.853455,0.853462,0.85645,0.901547,0.901222
"adhoc6",100,18,0.756229,0.867288,0.869041,0.868778,0.871459,0.915058,0.912631
"adhoc6",10,19,0.408754,0.649087,0.637508,0.610384,0.679841,0.602577,0.454995
"adhoc6",20,19,0.702357,0.659832,0.653275,0.646235,0.673157,0.605843,0.440349
"adhoc6",30,19,0.70101,0.771856,0.771966,0.767107,0.784306,0.816549,0.780307
"adhoc6",40,19,0.776431,0.808158,0.810033,0.805976,0.818364,0.85363,0.835988
"adhoc6",50,19,0.776431,0.774726,0.777345,0.774774,0.784378,0.829952,0.791882
"adhoc6",60,19,0.828956,0.770506,0.774323,0.772309,0.779771,0.815188,0.783909
"adhoc6",70,19,0.851852,0.809064,0.811588,0.80997,0.816494,0.862089,0.847034
"adhoc6",80,19,0.886869,0.840498,0.84175,0.841797,0.845465,0.890874,0.879039
"adhoc6",90,19,0.832997,0.862681,0.863944,0.863865,0.866042,0.910171,0.909292
"adhoc6",100,19,0.858586,0.829238,0.830377,0.831509,0.833069,0.882549,0.862442
"adhoc6",10,20,0.410101,0.643755,0.629436,0.60477,0.670933,0.675007,0.349395
"adhoc6",20,20,0.674074,0.715376,0.713765,0.704398,0.733628,0.727643,0.642422
"adhoc6",30,20,0.702357,0.776251,0.774231,0.774733,0.786998,0.816339,0.77204
"adhoc6",40,20,0.550168,0.767421,0.770022,0.765283,0.778927,0.816541,0.761989
"adhoc6",50,20,0.815488,0.798038,0.802703,0.798077,0.809184,0.842078,0.824158
"adhoc6",60,20,0.846465,0.831077,0.832691,0.831517,0.838502,0.883826,0.869969
"adhoc6",70,20,0.834343,0.822171,0.82306,0.823811,0.827616,0.868609,0.858361
"adhoc6",80,20,0.745455,0.814544,0.815657,0.815856,0.820343,0.863543,0.853006
"adhoc6",90,20,0.884175,0.84666,0.84864,0.848459,0.852264,0.898836,0.894799
"adhoc6",100,20,0.847811,0.834986,0.836083,0.837475,0.838986,0.891721,0.880663
"adhoc6",10,21,0.342761,0.691154,0.670506,0.642869,0.720738,0.670539,0.621184
"adhoc6",20,21,0.719865,0.704446,0.703342,0.68943,0.723912,0.738074,0.647003
"adhoc6",30,21,0.756229,0.705495,0.706431,0.70077,0.719938,0.726858,0.637483
"adhoc6",40,21,0.784512,0.757694,0.759464,0.754244,0.768147,0.806141,0.758313
"adhoc6",50,21,0.746801,0.816385,0.816645,0.814825,0.823906,0.867818,0.85658
"adhoc6",60,21,0.804714,0.830774,0.833003,0.831675,0.838082,0.886804,0.873072
"adhoc6",70,21,0.820875,0.790609,0.793309,0.793181,0.79805,0.838504,0.814358
"adhoc6",80,21,0.834343,0.835464,0.838565,0.837889,0.842865,0.886642,0.879404
"adhoc6",90,21,0.806061,0.851659,0.85287,0.853902,0.855448,0.904262,0.891263
"adhoc6",100,21,0.83165,0.850015,0.850961,0.85211,0.853953,0.905472,0.893298
"adhoc6",10,22,0.609428,0.609314,0.595846,0.568566,0.638567,0.566651,0.295768
"adhoc6",20,22,0.715825,0.668785,0.663663,0.657375,0.684509,0.672122,0.526584
"adhoc6",30,22,0.680808,0.764523,0.763663,0.757884,0.775743,0.802963,0.772767
"adhoc6",40,22,0.705051,0.792026,0.789499,0.790731,0.799064,0.828404,0.80789
"adhoc6",50,22,0.789899,0.792664,0.795345,0.793682,0.801607,0.834682,0.818412
"adhoc6",60,22,0.823569,0.766513,0.768302,0.767431,0.774564,0.811713,0.764172
"adhoc6",70,22,0.777778,0.813942,0.816098,0.815711,0.819735,0.860859,0.852868
"adhoc6",80,22,0.866667,0.845009,0.847414,0.846444,0.851063,0.891357,0.886589
"adhoc6",90,22,0.854545,0.868473,0.871115,0.870851,0.874281,0.917351,0.917145
"adhoc6",100,22,0.911111,0.854128,0.856153,0.855965,0.85857,0.900957,0.897392
"adhoc6",10,23,0.594613,0.656439,0.643603,0.615651,0.685293,0.630572,0.439243
"adhoc6",20,23,0.698316,0.665595,0.665217,0.653847,0.686535,0.662041,0.528018
"adhoc6",30,23,0.683502,0.67767,0.679911,0.674621,0.69197,0.675687,0.553734
"adhoc6",40,23,0.757576,0.781832,0.781019,0.780199,0.789624,0.824515,0.795689
"adhoc6",50,23,0.837037,0.806078,0.809368,0.806605,0.815372,0.858029,0.841486
"adhoc6",60,23,0.834343,0.827362,0.830504,0.829136,0.835126,0.88396,0.875235
"adhoc6",70,23,0.803367,0.818183,0.819483,0.819936,0.823938,0.863499,0.853491
"adhoc6",80,23,0.893603,0.835607,0.838028,0.837471,0.841682,0.885401,0.87454
"adhoc6",90,23,0.851852,0.853748,0.855824,0.855855,0.858645,0.90711,0.906502
"adhoc6",100,23,0.851852,0.845604,0.848856,0.848935,0.851515,0.90163,0.892779
"adhoc6",10,24,0.531313,0.603957,0.595782,0.565672,0.637251,0.56916,0.383043
"adhoc6",20,24,0.601347,0.734007,0.728825,0.719515,0.750789,0.786975,0.683158
"adhoc6",30,24,0.731987,0.7587,0.763376,0.755267,0.775597,0.794732,0.752187
"adhoc6",40,24,0.698316,0.786873,0.786637,0.783371,0.795876,0.846193,0.802957
"adhoc6",50,24,0.758923,0.747125,0.753691,0.749908,0.760459,0.793869,0.734302
"adhoc6",60,24,0.826263,0.801988,0.806267,0.804015,0.810986,0.850234,0.845089
"adhoc6",70,24,0.796633,0.806651,0.80954,0.809173,0.814105,0.855445,0.836863
"adhoc6",80,24,0.826263,0.826525,0.828322,0.829215,0.832267,0.881312,0.86602
"adhoc6",90,24,0.868013,0.828696,0.83168,0.832408,0.835029,0.873211,0.872904
"adhoc6",100,24,0.850505,0.847254,0.850635,0.851715,0.853072,0.902086,0.895938
"adhoc6",10,25,0.726599,0.6663,0.650172,0.624556,0.693647,0.646952,0.498731
"adhoc6",20,25,0.478788,0.656053,0.654977,0.640548,0.67649,0.693117,0.53519
"adhoc6",30,25,0.725253,0.749588,0.749898,0.745047,0.762206,0.789398,0.738942
"adhoc6",40,25,0.838384,0.771059,0.771892,0.771178,0.779762,0.812298,0.772965
"adhoc6",50,25,0.834343,0.760415,0.758565,0.759447,0.765886,0.802231,0.752496
"adhoc6",60,25,0.847811,0.828249,0.828302,0.829093,0.833735,0.874229,0.865865
"adhoc6",70,25,0.838384,0.831099,0.833138,0.831967,0.837329,0.878654,0.876474
"adhoc6",80,25,0.843771,0.82118,0.82203,0.821749,0.826273,0.874786,0.859568
"adhoc6",90,25,0.853199,0.859837,0.862224,0.861438,0.865187,0.908633,0.909861
"adhoc6",100,25,0.842424,0.82823,0.829353,0.83176,0.832638,0.874184,0.86559
"adhoc6",10,26,0.59596,0.648327,0.635179,0.605654,0.676637,0.566002,0.469145
"adhoc6",20,26,0.649832,0.7401,0.743435,0.729139,0.762936,0.799505,0.732984
"adhoc6",30,26,0.621549,0.713297,0.716691,0.707382,0.729275,0.733585,0.662092
"adhoc6",40,26,0.779125,0.778012,0.775744,0.774691,0.784738,0.820213,0.786735
"adhoc6",50,26,0.750842,0.760813,0.763559,0.763277,0.770889,0.79357,0.751209
"adhoc6",60,26,0.846465,0.816936,0.818735,0.816723,0.824251,0.877487,0.858376
"adhoc6",70,26,0.858586,0.794298,0.795698,0.797863,0.800659,0.838118,0.809022
"adhoc6",80,26,0.816835,0.840109,0.840522,0.840818,0.843855,0.883065,0.879223
"adhoc6",90,26,0.86936,0.830583,0.832692,0.832895,0.836333,0.882639,0.878965
"adhoc6",100,26,0.818182,0.843275,0.845721,0.846167,0.848357,0.891886,0.883855
"adhoc6",10,27,0.494949,0.674007,0.663632,0.633005,0.709477,0.725673,0.550125
"adhoc6",20,27,0.69697,0.747305,0.743382,0.729738,0.763832,0.793198,0.728744
"adhoc6",30,27,0.781818,0.735744,0.737306,0.730844,0.749857,0.77745,0.709347
"adhoc6",40,27,0.757576,0.806782,0.808529,0.805325,0.816708,0.856926,0.839202
"adhoc6",50,27,0.815488,0.793129,0.796221,0.792914,0.802159,0.846333,0.83009
"adhoc6",60,27,0.846465,0.796147,0.799536,0.797522,0.804652,0.852807,0.831179
"adhoc6",70,27,0.820875,0.785372,0.787662,0.786324,0.792618,0.823787,0.809548
"adhoc6",80,27,0.79798,0.818777,0.819448,0.820119,0.823166,0.854451,0.852592
"adhoc6",90,27,0.881481,0.837502,0.839773,0.839631,0.842672,0.896779,0.880123
"adhoc6",100,27,0.815488,0.823356,0.826332,0.826348,0.829196,0.881197,0.857474
"adhoc6",10,28,0.560943,0.727243,0.713594,0.688978,0.75301,0.787561,0.670149
"adhoc6",20,28,0.6633,0.76755,0.772301,0.758485,0.789674,0.808351,0.782375
"adhoc6",30,28,0.679461,0.798865,0.797768,0.793623,0.810009,0.84375,0.818895
"adhoc6",40,28,0.725253,0.799199,0.801329,0.797524,0.809522,0.840149,0.837412
"adhoc6",50,28,0.806061,0.804986,0.80603,0.805885,0.812022,0.847501,0.838842
"adhoc6",60,28,0.842424,0.822304,0.823532,0.821878,0.829433,0.879536,0.865335
"adhoc6",70,28,0.826263,0.819116,0.820728,0.820488,0.825386,0.867544,0.854421
"adhoc6",80,28,0.877441,0.834407,0.835613,0.836102,0.838952,0.888412,0.876443
"adhoc6",90,28,0.83569,0.864149,0.865431,0.865825,0.868516,0.916926,0.913693
"adhoc6",100,28,0.851852,0.850074,0.851822,0.853295,0.854843,0.898311,0.896181
"adhoc6",10,29,0.519192,0.690488,0.668113,0.645522,0.717308,0.742009,0.641041
"adhoc6",20,29,0.758923,0.644085,0.648848,0.632571,0.667747,0.621967,0.450378
"adhoc6",30,29,0.706397,0.773543,0.774488,0.770823,0.786167,0.812664,0.785589
"adhoc6",40,29,0.691582,0.763088,0.767792,0.761524,0.777807,0.798328,0.765883
"adhoc6",50,29,0.806061,0.810642,0.813884,0.811708,0.819565,0.862488,0.852982
"adhoc6",60,29,0.820875,0.840901,0.842989,0.841652,0.847733,0.898229,0.882743
"adhoc6",70,29,0.861279,0.796921,0.797812,0.799025,0.802621,0.844264,0.819344
"adhoc6",80,29,0.726599,0.859158,0.859766,0.860401,0.862727,0.907922,0.90212
"adhoc6",90,29,0.807407,0.818823,0.821431,0.821963,0.824905,0.871679,0.85297
