"collection","n_t","trial","actual","KD","ML","MSQD","RES","SHw","SHwo"
"adhoc6",40,18,0.811459,0.77634,0.780195,0.774433,0.788893,0.832661,0.820648
"adhoc6",50,18,0.799139,0.772912,0.778238,0.773665,0.785912,0.817641,0.820442
"adhoc6",60,18,0.786525,0.814896,0.818605,0.815778,0.823054,0.872143,0.875415
"adhoc6",70,18,0.825454,0.817751,0.819863,0.819145,0.824718,0.871807,0.874859
"adhoc6",80,18,0.881897,0.821856,0.825192,0.823841,0.828677,0.881733,0.875266
"adhoc6",90,18,0.833107,0.835031,0.838387,0.83811,0.841048,0.892223,0.892626
"adhoc6",100,18,0.734747,0.84893,0.85076,0.850273,0.853465,0.901145,0.902234
"adhoc6",10,19,0.422047,0.598704,0.588665,0.561489,0.626253,0.559529,0.442654
"adhoc6",20,19,0.664539,0.648886,0.64548,0.636388,0.664949,0.633951,0.533082
"adhoc6",30,19,0.714457,0.737967,0.741603,0.735157,0.754052,0.786411,0.766199
"adhoc6",40,19,0.774484,0.776056,0.780641,0.775302,0.789912,0.82403,0.822849
"adhoc6",50,19,0.756053,0.758194,0.761763,0.758511,0.768788,0.820273,0.799757
"adhoc6",60,19,0.801827,0.760935,0.766274,0.76322,0.772373,0.814785,0.801902
"adhoc6",70,19,0.814452,0.767772,0.77135,0.769625,0.776792,0.824361,0.8113
"adhoc6",80,19,0.862535,0.823861,0.826087,0.825657,0.829805,0.879323,0.872557
"adhoc6",90,19,0.782007,0.835257,0.838389,0.837776,0.840119,0.886149,0.889956
"adhoc6",100,19,0.830392,0.809364,0.811477,0.812104,0.814472,0.87259,0.858399
"adhoc6",10,20,0.41536,0.612333,0.600112,0.575294,0.63964,0.660069,0.420951
"adhoc6",20,20,0.635699,0.694057,0.694358,0.683149,0.713202,0.718453,0.665829
"adhoc6",30,20,0.680903,0.731442,0.731353,0.729469,0.74454,0.773216,0.741256
"adhoc6",40,20,0.600549,0.738752,0.742144,0.737092,0.750998,0.789365,0.751627
"adhoc6",50,20,0.779338,0.773992,0.780336,0.775279,0.786855,0.823332,0.818478
"adhoc6",60,20,0.829167,0.812688,0.815214,0.813462,0.8214,0.866863,0.866196
"adhoc6",70,20,0.798969,0.801154,0.803177,0.803221,0.807188,0.855218,0.848346
"adhoc6",80,20,0.691352,0.78063,0.782448,0.78181,0.786592,0.833559,0.825012
"adhoc6",90,20,0.849614,0.825178,0.827929,0.827254,0.831865,0.885582,0.882365
"adhoc6",100,20,0.825565,0.818313,0.819706,0.8203,0.822594,0.878674,0.872408
"adhoc6",10,21,0.443186,0.600557,0.587021,0.557779,0.631539,0.592593,0.518896
"adhoc6",20,21,0.64406,0.667083,0.667725,0.653708,0.68641,0.716211,0.627651
"adhoc6",30,21,0.770668,0.678773,0.683949,0.676091,0.696476,0.719179,0.663413
"adhoc6",40,21,0.798322,0.732031,0.735699,0.729566,0.744519,0.787002,0.757424
"adhoc6",50,21,0.713752,0.786954,0.787577,0.785254,0.796163,0.842664,0.84075
"adhoc6",60,21,0.745349,0.802057,0.805358,0.803206,0.810625,0.862929,0.852592
"adhoc6",70,21,0.786565,0.774582,0.777571,0.776674,0.78264,0.827495,0.823476
"adhoc6",80,21,0.830355,0.809221,0.812971,0.811807,0.817544,0.868937,0.863139
"adhoc6",90,21,0.78216,0.83071,0.83314,0.833494,0.835484,0.888808,0.881434
"adhoc6",100,21,0.799068,0.825898,0.827802,0.828478,0.831225,0.892486,0.875512
"adhoc6",10,22,0.57096,0.586869,0.575405,0.548336,0.615525,0.578488,0.400447
"adhoc6",20,22,0.721724,0.626694,0.623108,0.614347,0.644133,0.630263,0.552102
"adhoc6",30,22,0.688316,0.706987,0.708683,0.702191,0.719115,0.75408,0.718034
"adhoc6",40,22,0.681795,0.770684,0.771528,0.7713,0.780433,0.819274,0.807505
